,Date,Open,High,Low,Close,Volume,Ema9,Ema15,EmaStatus,Call,Diff,info
0,2023-10-11 09:15:00,596.9,597.0,594.0,594.95,2213195,594.95,594.95,RANGE,None,0.0,None
1,2023-10-11 10:15:00,594.7,595.25,591.95,592.65,1519481,594.49,594.66,DOWN,None,-0.16999999999995907,None
2,2023-10-11 11:15:00,592.6,595.3,592.25,594.8,1124544,594.55,594.68,DOWN,None,-0.12999999999999545,"[-0.16999999999995907, -0.12999999999999545]"
3,2023-10-11 12:15:00,594.8,595.0,592.6,593.6,969286,594.36,594.54,DOWN,None,-0.17999999999994998,"[-0.16999999999995907, -0.17999999999994998]"
4,2023-10-11 13:15:00,593.55,593.6,588.65,589.0,2489295,593.29,593.85,DOWN,None,-0.5600000000000591,"[-0.12999999999999545, -0.5600000000000591]"
5,2023-10-11 14:15:00,589.1,589.95,587.75,588.0,4202876,592.23,593.12,DOWN,None,-0.8899999999999864,"[-0.17999999999994998, -0.8899999999999864]"
6,2023-10-11 15:15:00,587.95,589.1,587.6,588.9,1637795,591.57,592.59,DOWN,None,-1.0199999999999818,"[-0.5600000000000591, -1.0199999999999818]"
7,2023-10-12 09:15:00,590.8,593.0,590.4,591.45,1535019,591.54,592.45,DOWN,None,-0.9100000000000819,"[-0.8899999999999864, -0.9100000000000819]"
8,2023-10-12 10:15:00,591.45,592.0,589.55,591.15,843421,591.46,592.29,DOWN,None,-0.8299999999999272,"[-1.0199999999999818, -0.8299999999999272]"
9,2023-10-12 11:15:00,591.0,591.2,590.25,590.6,542423,591.29,592.08,DOWN,None,-0.7900000000000773,"[-0.9100000000000819, -0.7900000000000773]"
10,2023-10-12 12:15:00,590.45,590.65,587.0,587.9,1711489,590.61,591.55,DOWN,None,-0.9399999999999409,"[-0.8299999999999272, -0.9399999999999409]"
11,2023-10-12 13:15:00,587.9,588.5,587.0,587.35,2033403,589.96,591.03,DOWN,None,-1.0699999999999363,"[-0.7900000000000773, -1.0699999999999363]"
12,2023-10-12 14:15:00,587.5,587.6,586.0,586.45,3333854,589.26,590.46,DOWN,None,-1.2000000000000455,"[-0.9399999999999409, -1.2000000000000455]"
13,2023-10-12 15:15:00,586.4,586.5,585.0,585.65,1955716,588.54,589.86,DOWN,None,-1.32000000000005,"[-1.0699999999999363, -1.32000000000005]"
14,2023-10-13 09:15:00,577.75,581.3,574.85,575.7,6416388,585.97,588.09,DOWN,None,-2.1200000000000045,"[-1.2000000000000455, -2.1200000000000045]"
15,2023-10-13 10:15:00,575.65,577.15,574.8,575.8,2814342,583.94,586.55,DOWN,None,-2.6099999999999,"[-1.32000000000005, -2.6099999999999]"
16,2023-10-13 11:15:00,575.8,576.2,575.15,575.55,1500667,582.26,585.18,DOWN,None,-2.919999999999959,"[-2.1200000000000045, -2.919999999999959]"
17,2023-10-13 12:15:00,575.55,576.6,575.15,576.2,1487127,581.05,584.05,DOWN,None,-3.0,"[-2.6099999999999, -3.0]"
18,2023-10-13 13:15:00,576.35,579.45,576.0,578.8,2112343,580.6,583.4,DOWN,None,-2.7999999999999545,"[-2.919999999999959, -2.7999999999999545]"
19,2023-10-13 14:15:00,578.9,580.45,576.0,576.8,2856353,579.84,582.57,DOWN,None,-2.730000000000018,"[-3.0, -2.730000000000018]"
20,2023-10-13 15:15:00,576.75,576.75,575.4,576.2,1725582,579.11,581.78,DOWN,None,-2.669999999999959,"[-2.7999999999999545, -2.669999999999959]"
21,2023-10-16 09:15:00,576.0,577.5,571.5,575.55,3541503,578.4,581.0,DOWN,None,-2.6000000000000227,"[-2.730000000000018, -2.6000000000000227]"
22,2023-10-16 10:15:00,575.5,578.45,575.2,577.0,1514281,578.12,580.5,DOWN,None,-2.3799999999999955,"[-2.669999999999959, -2.3799999999999955]"
23,2023-10-16 11:15:00,577.05,578.75,576.45,577.4,1645567,577.97,580.11,DOWN,None,-2.1399999999999864,"[-2.6000000000000227, -2.1399999999999864]"
24,2023-10-16 12:15:00,577.35,577.55,576.2,576.2,831952,577.62,579.62,DOWN,None,-2.0,"[-2.3799999999999955, -2.0]"
25,2023-10-16 13:15:00,576.25,576.85,574.6,575.8,1387138,577.26,579.14,DOWN,None,-1.8799999999999955,"[-2.1399999999999864, -1.8799999999999955]"
26,2023-10-16 14:15:00,575.7,576.8,575.4,575.8,1495964,576.96,578.73,DOWN,None,-1.7699999999999818,"[-2.0, -1.7699999999999818]"
27,2023-10-16 15:15:00,575.7,575.95,575.1,575.5,819594,576.67,578.32,DOWN,None,-1.650000000000091,"[-1.8799999999999955, -1.650000000000091]"
28,2023-10-17 09:15:00,577.7,579.95,577.25,578.8,2091856,577.1,578.38,DOWN,None,-1.2799999999999727,"[-1.7699999999999818, -1.2799999999999727]"
29,2023-10-17 10:15:00,578.75,579.85,578.1,579.1,757129,577.5,578.47,DOWN,None,-0.9700000000000273,"[-1.650000000000091, -0.9700000000000273]"
30,2023-10-17 11:15:00,579.1,579.4,578.0,578.35,1171635,577.67,578.46,DOWN,None,-0.7900000000000773,"[-1.2799999999999727, -0.7900000000000773]"
31,2023-10-17 12:15:00,578.35,578.5,577.6,577.9,743126,577.71,578.39,DOWN,None,-0.67999999999995,"[-0.9700000000000273, -0.67999999999995]"
32,2023-10-17 13:15:00,577.9,578.6,575.3,575.9,2356766,577.35,578.08,DOWN,None,-0.7300000000000182,"[-0.7900000000000773, -0.7300000000000182]"
33,2023-10-17 14:15:00,575.65,577.55,575.65,576.2,2498768,577.12,577.84,DOWN,None,-0.7200000000000273,"[-0.67999999999995, -0.7200000000000273]"
34,2023-10-17 15:15:00,576.15,576.8,575.95,576.6,1128718,577.02,577.69,DOWN,None,-0.6700000000000728,"[-0.7300000000000182, -0.6700000000000728]"
35,2023-10-18 09:15:00,577.75,579.25,576.6,578.45,1484639,577.3,577.78,DOWN,None,-0.4800000000000182,"[-0.7200000000000273, -0.4800000000000182]"
36,2023-10-18 10:15:00,578.5,578.9,569.35,570.6,3108583,575.96,576.88,DOWN,None,-0.9199999999999591,"[-0.6700000000000728, -0.9199999999999591]"
37,2023-10-18 11:15:00,570.3,572.5,570.2,571.25,1794329,575.02,576.18,DOWN,None,-1.1599999999999682,"[-0.4800000000000182, -1.1599999999999682]"
38,2023-10-18 12:15:00,571.2,571.85,570.0,571.65,1309794,574.35,575.61,DOWN,None,-1.259999999999991,"[-0.9199999999999591, -1.259999999999991]"
39,2023-10-18 13:15:00,571.65,573.3,571.05,573.05,1216944,574.09,575.29,DOWN,None,-1.1999999999999318,"[-1.1599999999999682, -1.1999999999999318]"
40,2023-10-18 14:15:00,573.05,573.25,571.9,572.75,2024111,573.82,574.98,DOWN,None,-1.1599999999999682,"[-1.259999999999991, -1.1599999999999682]"
41,2023-10-18 15:15:00,572.9,572.95,572.3,572.6,828234,573.58,574.68,DOWN,None,-1.099999999999909,"[-1.1999999999999318, -1.099999999999909]"
42,2023-10-19 09:15:00,569.8,573.0,567.0,570.45,3090180,572.95,574.15,DOWN,None,-1.1999999999999318,"[-1.1599999999999682, -1.1999999999999318]"
43,2023-10-19 10:15:00,570.45,570.75,568.7,570.4,1443365,572.44,573.68,DOWN,None,-1.2399999999998954,"[-1.099999999999909, -1.2399999999998954]"
44,2023-10-19 11:15:00,570.4,573.25,570.2,572.1,1556193,572.37,573.48,DOWN,None,-1.1100000000000136,"[-1.1999999999999318, -1.1100000000000136]"
45,2023-10-19 12:15:00,572.1,572.5,570.65,571.0,1743576,572.1,573.17,DOWN,None,-1.0699999999999363,"[-1.2399999999998954, -1.0699999999999363]"
46,2023-10-19 13:15:00,571.0,574.0,570.25,572.15,1391680,572.11,573.05,DOWN,None,-0.9399999999999409,"[-1.1100000000000136, -0.9399999999999409]"
47,2023-10-19 14:15:00,572.1,572.9,569.8,570.8,1570155,571.85,572.76,DOWN,None,-0.9099999999999682,"[-1.0699999999999363, -0.9099999999999682]"
48,2023-10-19 15:15:00,570.85,571.5,570.5,571.3,585281,571.74,572.58,DOWN,None,-0.8400000000000318,"[-0.9399999999999409, -0.8400000000000318]"
49,2023-10-20 09:15:00,569.9,570.0,566.6,567.9,2104140,570.97,572.0,DOWN,None,-1.0299999999999727,"[-0.9099999999999682, -1.0299999999999727]"
50,2023-10-20 10:15:00,567.85,567.9,565.65,567.0,1232014,570.18,571.37,DOWN,None,-1.1900000000000546,"[-0.8400000000000318, -1.1900000000000546]"
51,2023-10-20 11:15:00,567.0,567.85,564.0,565.55,1597896,569.25,570.64,DOWN,None,-1.3899999999999864,"[-1.0299999999999727, -1.3899999999999864]"
52,2023-10-20 12:15:00,565.5,565.6,562.1,562.7,1829770,567.94,569.65,DOWN,None,-1.7099999999999227,"[-1.1900000000000546, -1.7099999999999227]"
53,2023-10-20 13:15:00,562.75,565.15,562.7,563.85,1432562,567.12,568.93,DOWN,None,-1.8099999999999454,"[-1.3899999999999864, -1.8099999999999454]"
54,2023-10-20 14:15:00,563.8,564.5,562.85,562.9,1684279,566.28,568.17,DOWN,None,-1.8899999999999864,"[-1.7099999999999227, -1.8899999999999864]"
